CustomerID,Gender,Age,SeniorCitizen,Tenure_Months,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,DataUsage_GB,Churn
CUST_00001,Male,68,1,59,Month-to-month,Yes,Mailed check,31.42,1851.19,0,58.7,No
CUST_00002,Female,64,0,18,Month-to-month,No,Credit card,57.52,1049.47,2,55.1,No
CUST_00003,Male,64,0,56,Month-to-month,No,Credit card,25.33,1421.91,0,54.1,No
CUST_00004,Male,21,0,57,Month-to-month,No,Bank transfer,33.35,1901.25,1,65.9,No
CUST_00005,Male,24,0,48,Month-to-month,Yes,Electronic check,43.18,2071.82,2,48.9,No
CUST_00006,Female,62,0,42,Two year,Yes,Electronic check,62.96,2648.71,0,87.9,Yes
CUST_00007,Male,52,0,27,Month-to-month,No,Electronic check,91.48,2458.78,1,57.5,No
CUST_00008,Male,65,1,52,One year,No,Mailed check,33.27,1738.97,1,30.3,No
CUST_00009,Male,26,0,42,Month-to-month,Yes,Mailed check,93.8,3943.84,1,23.2,No
CUST_00010,Female,25,0,32,Month-to-month,No,Electronic check,105.51,3370.48,2,56.7,No
CUST_00011,Male,69,1,26,Two year,No,Credit card,85.15,2201.16,0,45.7,No
CUST_00012,Male,62,0,25,Month-to-month,No,Credit card,24.37,606.81,2,26.9,Yes
CUST_00013,Male,34,0,23,One year,Yes,Mailed check,64.07,1476.01,0,46.8,No
CUST_00014,Male,34,0,57,Month-to-month,No,Electronic check,86.01,4903.94,3,39.0,No
CUST_00015,Female,66,1,52,One year,No,Credit card,117.85,6129.77,1,41.1,Yes
CUST_00016,Male,50,0,31,One year,Yes,Credit card,115.18,3577.34,3,77.1,No
CUST_00017,Female,49,0,64,Two year,No,Mailed check,59.57,3800.99,1,64.4,No
CUST_00018,Female,25,0,71,Two year,Yes,Mailed check,81.59,5792.46,1,71.0,No
CUST_00019,Female,36,0,33,One year,Yes,Credit card,109.08,3602.67,0,84.3,No
